domain,run_id,vocab,clf_type,param,val_acc,test_acc
human,1,50,svm,0.1,0.6514285714285715,0.5208571428571429
human,2,50,svm,1.0,0.66,0.518
human,3,50,knn,5,0.59,0.4657142857142857
human,4,50,knn,10,0.6342857142857142,0.4937142857142857
human,5,100,svm,0.1,0.7114285714285714,0.558
human,6,100,svm,1.0,0.7171428571428572,0.5602857142857143
human,7,100,knn,5,0.7242857142857143,0.498
human,8,100,knn,10,0.7328571428571429,0.5248571428571429
robot,9,50,svm,0.1,0.5785714285714286,0.49314285714285716
robot,10,50,svm,1.0,0.6457142857142857,0.5025714285714286
robot,11,50,knn,5,0.8142857142857143,0.44057142857142856
robot,12,50,knn,10,0.8057142857142857,0.4491428571428571
robot,13,100,svm,0.1,0.6328571428571429,0.5425714285714286
robot,14,100,svm,1.0,0.7157142857142857,0.5574285714285714
robot,15,100,knn,5,0.8871428571428571,0.48028571428571426
robot,16,100,knn,10,0.8642857142857143,0.49857142857142855
