domain,run_id,batch,lr,wd,epochs,best_val_acc,test_acc
human,1,16,0.001,0.0,15,0.99,0.9785714285714285
human,2,16,0.001,0.0001,15,0.9942857142857143,0.9762857142857143
human,3,16,0.0005,0.0,15,0.9885714285714285,0.9702857142857143
human,4,16,0.0005,0.0001,15,0.9857142857142858,0.9777142857142858
human,5,32,0.001,0.0,15,0.9871428571428571,0.9734285714285714
human,6,32,0.001,0.0001,15,0.9914285714285714,0.9774285714285714
human,7,32,0.0005,0.0,15,0.9885714285714285,0.9768571428571429
human,8,32,0.0005,0.0001,15,0.9871428571428571,0.9757142857142858
robot,9,16,0.001,0.0,15,0.9842857142857143,0.986
robot,10,16,0.001,0.0001,15,0.9857142857142858,0.9777142857142858
robot,11,16,0.0005,0.0,15,0.98,0.9837142857142858
robot,12,16,0.0005,0.0001,15,0.9814285714285714,0.9811428571428571
robot,13,32,0.001,0.0,15,0.9885714285714285,0.9825714285714285
